 ¹ |Applications received|Applications denied| % |Max package size|Buffer Usage|
---|---------------------|-------------------|---|----------------|------------|
  2|                    0|                  1|inf|               0|      0.0000|
  3|                    1|                  0|  0|               1|     10.0000|
  4|                    0|                  0|-nan(ind)|               1|     10.0000|
  5|                    0|                  1|inf|               0|      0.0000|
  6|                    1|                  1|100|               1|     10.0000|
  9|                    3|                  2| 67|               1|     10.0000|
 11|                    1|                  2|200|               0|      0.0000|
 12|                    0|                  1|inf|               0|      0.0000|
 14|                    0|                  0|-nan(ind)|               1|      0.0000|
 16|                    2|                  2|100|               1|     10.0000|
 17|                    3|                  4|134|               0|      0.0000|
 18|                    3|                  3|100|               1|      0.0000|
 19|                    0|                  1|inf|               0|      0.0000|
 21|                    0|                  1|inf|               0|      0.0000|
 24|                    2|                  2|100|               1|      0.0000|
 25|                    1|                  1|100|               1|     10.0000|
 26|                    0|                  1|inf|               0|      0.0000|
 27|                    1|                  2|200|               0|      0.0000|
 28|                    1|                  0|  0|               1|     10.0000|
 30|                    0|                  1|inf|               0|      0.0000|
 31|                    0|                  1|inf|               0|      0.0000|
 34|                    0|                  1|inf|               0|      0.0000|
 35|                    2|                  2|100|               1|     10.0000|
 36|                    0|                  1|inf|               0|      0.0000|
 38|                    0|                  1|inf|               0|      0.0000|
 39|                    0|                  1|inf|               0|      0.0000|
 41|                    0|                  0|-nan(ind)|               1|     10.0000|
 42|                    0|                  1|inf|               0|      0.0000|
 43|                    0|                  1|inf|               0|      0.0000|
 44|                    0|                  1|inf|               0|      0.0000|
 45|                    0|                  1|inf|               0|      0.0000|
 46|                    0|                  0|-nan(ind)|               1|     10.2222|
 48|                    0|                  1|inf|               0|      0.0000|
 49|                    0|                  1|inf|               0|      0.0000|
 50|                    0|                  1|inf|               0|      0.0000|
 52|                    0|                  0|-nan(ind)|               1|      0.0000|
 53|                    1|                  2|200|               0|      0.0000|
 55|                    0|                  1|inf|               0|      0.0000|
 57|                    0|                  1|inf|               0|      0.0000|
 59|                    1|                  0|  0|               1|     10.0000|
 60|                    0|                  1|inf|               0|      0.0000|
 61|                    1|                  2|200|               0|      0.0000|
 62|                    1|                  2|200|               0|      0.0000|
 63|                    0|                  1|inf|               0|      0.0000|
 67|                    0|                  1|inf|               0|      0.0000|
 70|                    0|                  1|inf|               0|      0.0000|
 71|                    0|                  1|inf|               0|      0.0000|
 74|                    1|                  2|200|               0|      0.0000|
 75|                    2|                  2|100|               1|      0.0000|
 76|                    1|                  0|  0|               1|     10.0000|
 77|                    1|                  2|200|               0|      0.0000|
 78|                    0|                  1|inf|               0|      0.0000|
 79|                    1|                  2|200|               0|      0.0000|
 80|                    1|                  1|100|               1|      0.0000|
 81|                    0|                  1|inf|               0|      0.0000|
 83|                    0|                  1|inf|               0|      0.0000|
 88|                    0|                  1|inf|               0|      0.0000|
 89|                    1|                  2|200|               0|      0.0000|
 91|                    1|                  2|200|               0|      0.0000|
 93|                    1|                  2|200|               0|      0.0000|
 94|                    0|                  1|inf|               0|      0.0000|
 96|                    1|                  2|200|               0|      0.0000|
 98|                    0|                  1|inf|               0|      0.0000|
101|                    0|                  1|inf|               1|     10.0000|
103|                    0|                  1|inf|               0|      0.0000|
104|                    0|                  1|inf|               0|      0.0000|
105|                    0|                  1|inf|               0|      0.0000|
107|                    2|                  2|100|               1|     10.4444|
108|                    0|                  1|inf|               0|      0.0000|
109|                    1|                  1|100|               1|     16.6667|
111|                    0|                  1|inf|               0|      0.0000|
113|                    0|                  1|inf|               0|      0.0000|
114|                    0|                  1|inf|               0|      0.0000|
116|                    0|                  1|inf|               0|      0.0000|
118|                    0|                  1|inf|               0|      0.0000|
119|                    0|                  0|-nan(ind)|               1|     10.5342|
120|                    0|                  1|inf|               0|      0.0000|
123|                    0|                  1|inf|               0|      0.0000|
129|                    0|                  1|inf|               0|      0.0000|
130|                    0|                  0|-nan(ind)|               1|     10.0000|
132|                    2|                  3|150|               1|      0.0000|
134|                    1|                  2|200|               0|      0.0000|
135|                    0|                  1|inf|               0|      0.0000|
137|                    2|                  1| 50|               1|      0.0000|
139|                    1|                  2|200|               0|      0.0000|
140|                    0|                  1|inf|               0|      0.0000|
141|                    0|                  1|inf|               0|      0.0000|
142|                    0|                  0|-nan(ind)|               1|     10.0000|
144|                    1|                  2|200|               0|      0.0000|
146|                    0|                  0|-nan(ind)|               1|     10.0000|
147|                    0|                  1|inf|               0|      0.0000|
153|                    0|                  1|inf|               0|      0.0000|
154|                    1|                  1|100|               1|     10.5556|
156|                    1|                  2|200|               0|      0.0000|
158|                    1|                  2|200|               0|      0.0000|
159|                    1|                  2|200|               0|      0.0000|
161|                    0|                  1|inf|               0|      0.0000|
162|                    1|                  2|200|               0|      0.0000|
163|                    3|                  3|100|               1|     10.2222|
165|                    0|                  0|-nan(ind)|               1|     10.5903|
167|                    2|                  3|150|               0|     10.0000|
168|                    0|                  1|inf|               0|      0.0000|
169|                    2|                  2|100|               1|      0.0000|
170|                    0|                  0|-nan(ind)|               0|      0.0000|
171|                    1|                  2|200|               0|      0.0000|
172|                    3|                  4|134|               0|     11.1111|
176|                    1|                  2|200|               0|      0.0000|
178|                    4|                  5|125|               0|      0.0000|
179|                    2|                  2|100|               1|      0.0000|
180|                    2|                  3|150|               0|      0.0000|
181|                    0|                  1|inf|               0|      0.0000|
183|                    1|                  2|200|               0|      0.0000|
184|                    0|                  1|inf|               0|      0.0000|
185|                    0|                  1|inf|               0|      0.0000|
187|                    1|                  1|100|               1|     10.0000|
188|                    1|                  2|200|               0|      0.0000|
189|                    0|                  1|inf|               0|      0.0000|
192|                    0|                  0|-nan(ind)|               1|     10.8730|
193|                    0|                  1|inf|               0|      0.0000|
194|                    0|                  0|-nan(ind)|               1|      0.0000|
